Id,ActivityDay,Calories
1503960366,4/12/2022,1985
1503960366,4/13/2022,1797
1503960366,4/14/2022,1776
1503960366,4/15/2022,1745
1503960366,4/16/2022,1863
1503960366,4/17/2022,1728
1503960366,4/18/2022,1921
1503960366,4/19/2022,2035
1503960366,4/20/2022,1786
1503960366,4/21/2022,1775
1503960366,4/22/2022,1827
1503960366,4/23/2022,1949
1503960366,4/24/2022,1788
1503960366,4/25/2022,2013
1503960366,4/26/2022,1970
1503960366,4/27/2022,2159
1503960366,4/28/2022,1898
1503960366,4/29/2022,1837
1503960366,4/30/2022,1947
1503960366,5/1/2022,1820
1503960366,5/2/2022,2004
1503960366,5/3/2022,1990
1503960366,5/4/2022,1819
1503960366,5/5/2022,1959
1503960366,5/6/2022,1896
1503960366,5/7/2022,1821
1503960366,5/8/2022,1740
1503960366,5/9/2022,1819
1503960366,5/10/2022,1859
1503960366,5/11/2022,1783
1503960366,5/12/2022,0
1624580081,4/12/2022,1432
1624580081,4/13/2022,1411
1624580081,4/14/2022,1572
1624580081,4/15/2022,1344
1624580081,4/16/2022,1463
1624580081,4/17/2022,1554
1624580081,4/18/2022,1604
1624580081,4/19/2022,1435
1624580081,4/20/2022,1446
1624580081,4/21/2022,1467
1624580081,4/22/2022,1470
1624580081,4/23/2022,1562
1624580081,4/24/2022,1617
1624580081,4/25/2022,1492
1624580081,4/26/2022,1402
1624580081,4/27/2022,1670
1624580081,4/28/2022,1401
1624580081,4/29/2022,1404
1624580081,4/30/2022,1655
1624580081,5/1/2022,2690
1624580081,5/2/2022,1497
1624580081,5/3/2022,1334
1624580081,5/4/2022,1368
1624580081,5/5/2022,1370
1624580081,5/6/2022,1341
1624580081,5/7/2022,1474
1624580081,5/8/2022,1427
1624580081,5/9/2022,1328
1624580081,5/10/2022,1393
1624580081,5/11/2022,1359
1624580081,5/12/2022,1002
1644430081,4/12/2022,3199
1644430081,4/13/2022,2902
1644430081,4/14/2022,3226
1644430081,4/15/2022,2750
1644430081,4/16/2022,3493
1644430081,4/17/2022,3011
1644430081,4/18/2022,2806
1644430081,4/19/2022,3300
1644430081,4/20/2022,2430
1644430081,4/21/2022,2140
1644430081,4/22/2022,2344
1644430081,4/23/2022,2677
1644430081,4/24/2022,2413
