Id,ActivityDay,StepTotal
1503960366,4/12/2022,13162
1503960366,4/13/2022,10735
1503960366,4/14/2022,10460
1503960366,4/15/2022,9762
1503960366,4/16/2022,12669
1503960366,4/17/2022,9705
1503960366,4/18/2022,13019
1503960366,4/19/2022,15506
1503960366,4/20/2022,10544
1503960366,4/21/2022,9819
1503960366,4/22/2022,12764
1503960366,4/23/2022,14371
1503960366,4/24/2022,10039
1503960366,4/25/2022,15355
1503960366,4/26/2022,13755
1503960366,4/27/2022,18134
1503960366,4/28/2022,13154
1503960366,4/29/2022,11181
1503960366,4/30/2022,14673
1503960366,5/1/2022,10602
1503960366,5/2/2022,14727
1503960366,5/3/2022,15103
1503960366,5/4/2022,11100
1503960366,5/5/2022,14070
1503960366,5/6/2022,12159
1503960366,5/7/2022,11992
1503960366,5/8/2022,10060
1503960366,5/9/2022,12022
1503960366,5/10/2022,12207
1503960366,5/11/2022,12770
1503960366,5/12/2022,0
1624580081,4/12/2022,8163
1624580081,4/13/2022,7007
1624580081,4/14/2022,9107
1624580081,4/15/2022,1510
1624580081,4/16/2022,5370
1624580081,4/17/2022,6175
1624580081,4/18/2022,10536
1624580081,4/19/2022,2916
1624580081,4/20/2022,4974
1624580081,4/21/2022,6349
1624580081,4/22/2022,4026
1624580081,4/23/2022,8538
1624580081,4/24/2022,6076
1624580081,4/25/2022,6497
1624580081,4/26/2022,2826
1624580081,4/27/2022,8367
1624580081,4/28/2022,2759
1624580081,4/29/2022,2390
1624580081,4/30/2022,6474
1624580081,5/1/2022,36019
1624580081,5/2/2022,7155
1624580081,5/3/2022,2100
1624580081,5/4/2022,2193
1624580081,5/5/2022,2470
1624580081,5/6/2022,1727
1624580081,5/7/2022,2104
1624580081,5/8/2022,3427
1624580081,5/9/2022,1732
1624580081,5/10/2022,2969
1624580081,5/11/2022,3134
1624580081,5/12/2022,2971
1644430081,4/12/2022,10694
1644430081,4/13/2022,8001
1644430081,4/14/2022,11037
1644430081,4/15/2022,5263
1644430081,4/16/2022,15300
1644430081,4/17/2022,8757
1644430081,4/18/2022,7132
1644430081,4/19/2022,11256
1644430081,4/20/2022,2436
1644430081,4/21/2022,1223
1644430081,4/22/2022,3673
1644430081,4/23/2022,6637
1644430081,4/24/2022,3321
1644430081,4/25/2022,3580
1644430081,4/26/2022,9919
1644430081,4/27/2022,3032
1644430081,4/28/2022,9405
1644430081,4/29/2022,3176
1644430081,4/30/2022,18213
1644430081,5/1/2022,6132
1644430081,5/2/2022,3758
1644430081,5/3/2022,12850
1644430081,5/4/2022,2309
1644430081,5/5/2022,4363
1644430081,5/6/2022,9787
1644430081,5/7/2022,13372
1644430081,5/8/2022,6724
1644430081,5/9/2022,6643
1644430081,5/10/2022,9167
1644430081,5/11/2022,1329
1844505072,4/12/2022,6697
1844505072,4/13/2022,4929
1844505072,4/14/2022,7937
1844505072,4/15/2022,3844
1844505072,4/16/2022,3414
1844505072,4/17/2022,4525
1844505072,4/18/2022,4597
1844505072,4/19/2022,197
1844505072,4/20/2022,8
1844505072,4/21/2022,8054
1844505072,4/22/2022,5372
1844505072,4/23/2022,3570
1844505072,4/24/2022,0
1844505072,4/25/2022,0
1844505072,4/26/2022,0
1844505072,4/27/2022,4
1844505072,4/28/2022,6907
1844505072,4/29/2022,4920
1844505072,4/30/2022,4014
1844505072,5/1/2022,2573
1844505072,5/2/2022,0
1844505072,5/3/2022,4059
1844505072,5/4/2022,2080
1844505072,5/5/2022,2237
1844505072,5/6/2022,44
1844505072,5/7/2022,0
1844505072,5/8/2022,0
1844505072,5/9/2022,0
1844505072,5/10/2022,0
1844505072,5/11/2022,0
1844505072,5/12/2022,0
1927972279,4/12/2022,678
1927972279,4/13/2022,356
1927972279,4/14/2022,2163
1927972279,4/15/2022,980
1927972279,4/16/2022,0
1927972279,4/17/2022,0
1927972279,4/18/2022,244
1927972279,4/19/2022,0
1927972279,4/20/2022,0
1927972279,4/21/2022,0
1927972279,4/22/2022,149
1927972279,4/23/2022,2945
1927972279,4/24/2022,2090
1927972279,4/25/2022,152
1927972279,4/26/2022,3761
1927972279,4/27/2022,0
1927972279,4/28/2022,1675
1927972279,4/29/2022,0
1927972279,4/30/2022,0
1927972279,5/1/2022,2704
1927972279,5/2/2022,3790
1927972279,5/3/2022,1326
1927972279,5/4/2022,1786
1927972279,5/5/2022,0
1927972279,5/6/2022,2091
1927972279,5/7/2022,1510
1927972279,5/8/2022,0
1927972279,5/9/2022,0
1927972279,5/10/2022,0
1927972279,5/11/2022,0
1927972279,5/12/2022,0
2022484408,4/12/2022,11875
2022484408,4/13/2022,12024
2022484408,4/14/2022,10690
2022484408,4/15/2022,11034
2022484408,4/16/2022,10100
2022484408,4/17/2022,15112
2022484408,4/18/2022,14131
2022484408,4/19/2022,11548
2022484408,4/20/2022,15112
2022484408,4/21/2022,12453
2022484408,4/22/2022,12954
2022484408,4/23/2022,6001
2022484408,4/24/2022,13481
2022484408,4/25/2022,11369
2022484408,4/26/2022,10119
2022484408,4/27/2022,10159
2022484408,4/28/2022,10140
2022484408,4/29/2022,10245
2022484408,4/30/2022,18387
2022484408,5/1/2022,10538
2022484408,5/2/2022,10379
2022484408,5/3/2022,12183
2022484408,5/4/2022,11768
2022484408,5/5/2022,11895
2022484408,5/6/2022,10227
2022484408,5/7/2022,6708
2022484408,5/8/2022,3292
2022484408,5/9/2022,13379
2022484408,5/10/2022,12798
2022484408,5/11/2022,13272
2022484408,5/12/2022,9117
2026352035,4/12/2022,4414
2026352035,4/13/2022,4993
2026352035,4/14/2022,3335
2026352035,4/15/2022,3821
2026352035,4/16/2022,2547
2026352035,4/17/2022,838
2026352035,4/18/2022,3325
2026352035,4/19/2022,2424
2026352035,4/20/2022,7222
2026352035,4/21/2022,2467
2026352035,4/22/2022,2915
2026352035,4/23/2022,12357
2026352035,4/24/2022,3490
2026352035,4/25/2022,6017
2026352035,4/26/2022,5933
2026352035,4/27/2022,6088
2026352035,4/28/2022,6375
2026352035,4/29/2022,7604
2026352035,4/30/2022,4729
2026352035,5/1/2022,3609
2026352035,5/2/2022,7018
2026352035,5/3/2022,5992
2026352035,5/4/2022,6564
2026352035,5/5/2022,12167
2026352035,5/6/2022,8198
2026352035,5/7/2022,4193
2026352035,5/8/2022,5528
2026352035,5/9/2022,10685
2026352035,5/10/2022,254
2026352035,5/11/2022,8580
2026352035,5/12/2022,8891
2320127002,4/12/2022,10725
2320127002,4/13/2022,7275
